Techstack,Links
"React, Node.js, MongoDB",https://example.com/react-portfolio
"Angular,.NET, SQL Server",https://example.com/angular-portfolio
"Python, Django, MySQL",https://example.com/python-portfolio
"Java,  Oracle",https://example.com/java-portfolio
"Flutter, Firebase",https://example.com/flutter-portfolio
"React Native, Node.js, MongoDB",https://example.com/react-native-portfolio
"Android, Java, Room Persistence",https://example.com/android-portfolio
"Kotlin, Android, Firebase",https://example.com/kotlin-android-portfolio
"Full-stack, JavaScript, Express.js",https://example.com/full-stack-js-portfolio
"Machine Learning, Python, TensorFlow",https://example.com/ml-python-portfolio
"DevOps, Jenkins, Docker",https://example.com/devops-portfolio
